time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1960-01-02T07:11:19.320Z,33.7861667,-118.5716667,6,2.39,mh,4,56,0.4913,0.37,ci,ci3351422,2016-01-28T19:43:17.230Z,"17km W of Palos Verdes Estates, CA",earthquake,2.45,31.61,0.152,12,reviewed,ci,ci
1960-01-02T12:21:58.000Z,-55.877,-1.89,15,6.3,mw,,,,,iscgem,iscgem877909,2015-05-13T18:52:54.000Z,"Bouvet Island region",earthquake,,,,,automatic,iscgem,iscgem
1960-01-02T22:51:46.080Z,35.5563333,-121.351,6,4.04,ml,9,293,1.331,0.65,ci,ci3351457,2016-01-28T19:43:17.710Z,"24km W of Cambria, CA",earthquake,3.27,31.61,0.161,11,reviewed,ci,ci
1960-01-03T11:24:05.000Z,43.7,84.542,15,5.7,mw,,,,,iscgem,iscgem877920,2015-05-13T18:52:54.000Z,"northern Xinjiang, China",earthquake,,,,,automatic,iscgem,iscgem
1960-01-03T20:50:13.440Z,31.5635,-116.3976667,6,3.77,ml,2,359,1.137,0.34,ci,ci12277811,2016-01-28T19:43:18.210Z,"23km SE of Maneadero, B.C., MX",earthquake,29.12,31.61,0.052,8,reviewed,ci,ci
1960-01-03T21:08:14.440Z,31.0971667,-116.0796667,6,3.99,ml,4,353,1.657,1.24,ci,ci10086470,2016-01-28T20:00:38.470Z,"83km SE of Maneadero, B.C., MX",earthquake,77.36,31.61,0.131,5,reviewed,ci,ci
1960-01-04T06:16:35.000Z,11.374,42.609,15,6.1,mw,,,,,iscgemsup,iscgemsup877930,2015-07-13T17:02:23.000Z,"Djibouti",earthquake,,,,,automatic,iscgem,iscgem
1960-01-04T12:52:00.000Z,45.069,26.829,40,5.4,mw,,,,,iscgemsup,iscgemsup877933,2015-07-13T17:02:23.000Z,"Romania",earthquake,,,,,automatic,iscgem,iscgem
1960-01-05T18:01:48.360Z,34.0148333,-117.7106667,6.22,3.03,ml,9,139,0.2793,0.56,ci,ci3351606,2016-01-28T19:47:36.260Z,"2km W of Chino, CA",earthquake,2.2,2.85,0.215,11,reviewed,ci,ci
1960-01-06T20:52:17.350Z,35.0055,-118.5136667,6,2.66,ml,8,114,0.3446,0.62,ci,ci3351626,2016-01-28T19:43:18.710Z,"15km SSW of Tehachapi, CA",earthquake,2.08,31.61,0.051,6,reviewed,ci,ci
1960-01-07T08:15:27.000Z,6.418,94.756,15,5.6,mw,,,,,iscgem,iscgem877954,2015-05-13T18:52:54.000Z,"Nicobar Islands, India region",earthquake,,,,,automatic,iscgem,iscgem
1960-01-07T13:28:20.000Z,-55.591,-27.278,35,6.2,mw,,,,,iscgem,iscgem877956,2015-05-13T18:52:54.000Z,"South Sandwich Islands region",earthquake,,,,,automatic,iscgem,iscgem
1960-01-07T17:51:33.650Z,32.2211667,-115.9048333,6,3.64,ml,3,340,0.7939,0.83,ci,ci12277815,2016-01-28T19:43:06.290Z,"50km SW of Progreso, B.C., MX",earthquake,10.65,31.61,0.112,5,reviewed,ci,ci
1960-01-07T23:17:30.000Z,6.352,94.547,55,5.5,mw,,,,,iscgem,iscgem877960,2015-05-13T18:52:54.000Z,"Nicobar Islands, India region",earthquake,,,,,automatic,iscgem,iscgem
